time,obs,sd
0,0.586,0.724
0.244,0.664,0.793
0.479,1.292,0.85
0.953,2.01,1.1
1.449,2.009,1.2
1.924,1.971,1.16
2.409,1.739,1.132
2.874,1.488,1.032
3.866,1.225,1.087
4.794,1.067,1.106
5.744,0.907,1.013
7.675,0.751,0.905
9.596,0.641,0.85
11.516,0.538,0.756
